"",,,Date Time,Date,Time,,,
10-17798T,11/05,0004 hrs,11/05 0027hrs,11/05,0048 hrs,"Under 21 with Alcohol in the Body, Criminal Littering",Sonora Center,Cleared By Arrest
10-17800T,11/05,0049 hrs,11/05 0049 hrs,11/05,0600 hrs,Under 21 with Alcohol in the Body,Palo Verde Main,Cleared By Arrest
"",,,,,,,Engineering Research,
"",,,,,,,,Pending
10-17806T,11/05,0409 hrs,11/04 1159 hrs,11/05,0409 hrs,Criminal Damage,Center,
"",,,,,,,,Pending
10-17785T,11/05,1308 hrs,11/05 1030 hrs,11/05,1245 hrs,Bicycle Theft,College of Design North,
10-17834T,11/05,1427 hrs,11/05 1230 hrs,11/05,1425 hrs,Stolen Vehicle,Vista del Sol,Pending
10-17844T,11/05,1727 hrs,11/05 1040 hrs,11/05,1715 hrs,Bicycle Theft,Physical Sciences H,Pending
"",,,,,,Possession of Marijuana / Possession of Drug,Vista del Sol Parking,
"",,,,,,,,Cleared By Arrest
10-17854T,11/05,2348 hrs,11/05 2348 hrs,11/05,2357 hrs,Paraphernalia,Structure,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-17860T,11/6,0231 hrs,11/6 0231 hrs,11/6,0250 hrs,Under 21 with Alcohol in the Body,Towers Apartments,Cleared by Arrest
10-17863T,11/6,0326 hrs,11/6 0326 hrs,11/6,0356 hrs,Under 21 with Alcohol in the Body,Towers Apartments,Cleared by Arrest
10-17864T,11/6,0334 hrs,11/6 0329 hrs,11/6,0334 hrs,Assault,Vista del Sol,Pending
10-17887T,11/6,1544 hrs,11/6 1344 hrs,11/6,1544 hrs,Stolen Bicycle,Student Rec Center,Pending
"",,,,,,,S Sossaman Rd / E,
10-17891T,11/6,1810 hrs,11/6 1810 hrs,11/6,1902 hrs,,,Cleared by Arrest
"",,,,,,Driving on Suspended License / Property Impound,Avery,
10-17896T,11/6,1905 hrs,11/6 1905 hrs,11/6,1905 hrs,Found Property,Vista del Sol,Pending
10-17905T,11/6,2222 hrs,11/6 2222 hrs,11/6,2222 hrs,Under 21 Possession of Alcohol,Vista del Sol,Cleared by Arrest
10-17911T,11/6,2347 hrs,11/6 2347 hrs,11/7,0017 hrs,Possession of Marijuana,Parking Lot 59,Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,Student Recreation,Cleared
10-17917T,11/7,0132 hrs,11/7 0132 hrs,11/7,0147 hrs,Under 21 with Alcohol in the Body,,
"",,,,,,,Complex,Exceptionally
"",,,,,,Disorderly Conduct / Under 21 with Alcohol in the,,
10-17922T,11/7,0253 hrs,11/7 0253 hrs,11/7,0311 hrs,,Hassayampa I,Cleared by Arrest
"",,,,,,Body,,
10-17923T,11/7,0406 hrs,11/7 0406 hrs,11/7,0406 hrs,Under 21 with Alcohol in the Body,Hassayampa II,Cleared by Arrest
10-17924T,11/7,0405 hrs,11/7 0405 hrs,11/7,0405 hrs,Under 21 with Alcohol in the Body,Sonora Center,Cleared by Arrest
"",,,,,,,Language and Literature,
10-17925T,11/7,0620 hrs,11/7 0620 hrs,11/7,0707 hrs,Reckless Burning,,Pending
"",,,,,,,Building,
10-17933T,11/7,1123 hrs,11/7 1045 hrs,11/7,1124 hrs,Bicycle Theft,Hayden Library,Pending
"",,,,,,,Student Service,
10-17934T,11/7,1202 hrs,11/7 0605 hrs,11/7,0620 hrs,Information Only Report,,Pending
"",,,,,,,Building,
10-17939T,11/7,1558 hrs,11/7 1405 hrs,11/7,1555 hrs,Vehicle Burglary,Parking Structure 7,Pending
10-17947T,11/7,1942 hrs,11/7 1200 hrs,11/7,1800 hrs,Bicycle Theft,Noble Library,Pending
10-17950T,11/7,2116 hrs,11/6 2200 hrs,11/7,0300 hrs,Bicycle Theft,Vista del Sol,Pending
"",,,,,,Possession of Marijuana / Possession of Drug,,Arrest with Charges
10-17952T,11/7,2204 hrs,11/7 2204 hrs,11/7,2243 hrs,,Arboretum,
"",,,,,,Paraphernalia,,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-17963T,11/8,0645 hrs,11/8 0645 hrs,11/8,0748 hrs,Found Bike,Parking Structure 4,Pending
10-17991,11/8,1515 hrs,11/8 1300 hrs,11/8,1500 hrs,Bike Theft,College of Design,Pending
10-17989E,11/8,1447 hrs,11/8 1100 hrs,11/8,1445 hrs,Theft,Mustang Hall,Pending
10-17972T,11/8,0917 hrs,11/7 1230 hrs,11/7,1300 hrs,Theft,Hassayampa,Pending
10-17974T,11/8,0942 hrs,11/8 0942 hrs,11/8,1045 hrs,Bike Theft,Language and Literature,Cleared by arrest
10-17983T,11/8,1315 hrs,11/8 1255 hrs,11/8,1457 hrs,Theft,ASU Salvage,Pending
10-17986T,11/8,1417 hrs,11/8 1417 hrs,11/8,1417 hrs,Found Bike,E Apache Blvd / S,Pending
10-17998T,11/8,1927 hrs,11/4 0000 hrs,11/8,1927 hrs,Bike Theft,WCoilllleogwe,Pending
10-17999T,11/8,1939 hrs,11/8 1730 hrs,11/8,1930 hrs,Bike Theft,Rosewood,Pending
10-18004T,11/8,2201 hrs,11/8 2201 hrs,11/8,2234 hrs,Trespassing,Hayden Library,Cleared by arrest
"",,,,,,No license plate light; two headlights required;driving,,
10-18005T,11/8,2240 hrs,11/8 2301 hrs,11/8,2322 hrs,,S Rural Rd/E Broadway,Cleared by arrest
"",,,,,,with license suspended,,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-18017T,11/9,0856 hrs,11/8 1700 hrs,11/9,0800 hrs,Criminal Damage,Towers Building,Pending
10-18019T,11/9,0954 hrs,11/9 0954 hrs,11/9,1059 hrs,Burglary from Vehicle,Parking Lot 59,Pending
10-18031T,11/9,1216 hrs,11/9 1216 hrs,11/9,1429 hrs,Criminal Damage,Coors Building,Pending
10-18038T,11/9,1404 hrs,10/28 1000 hrs,11/9,1404 hrs,Bike Theft,Parking Structure 2,Pending
10-18039T,11/9,1404 hrs,10/28 1000 hrs,11/9,1404 hrs,Bike Theft,Parking Structure 2,Pending
10-18043T,11/9,1440 hrs,11/5 1300 hrs,11/5,1300 hrs,Theft,Discovery Hall,Pending
10-18044T,11/9,1541 hrs,11/9 1435 hrs,11/9,1540 hrs,Bike Theft,Farmer,Pending
10-18045T,11/9,1557 hrs,11/4 1030 hrs,11/9,1030 hrs,Bike Theft,Farmer,Pending
10-18064T,11/9,2145 hrs,11/9 2000 hrs,11/9,2000 hrs,Burglary from Vehicle,Parking Lot 27,Pending
10-18069T,11/9,2313 hrs,11/9 2313 hrs,11/9,2322 hrs,Possession of Marijuana,E 14th St / S McAllister,Arrest with Charges
10-18063,11/9,2146 hrs,11/9 2215 hrs,11/10,0305 hrs,Search Warrant,SAavne Pablo,PCelonsdeidng
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-18079T,11/10,0212 hrs,11/10 0254 hrs,11/10,0548 hrs,Driving Under the Influence,S Forest Ave/ E,Cleared By Arrest
10-18085T,11/10,1035 hrs,11/9 1000 hrs,11/9,1930 hrs,Bike Theft,GViasmtam Daegle S Poklwy,Pending
10-18089T,11/10,1320 hrs,11/10 1300 hrs,11/10,1305 hrs,Theft,Hayden Library,Pending
10-18094T,11/10,1603 hrs,11/10 1600 hrs,11/10,2005 hrs,Disorderly Conduct,Vista Del Sol,Pending
10-18102T,11/10,1959 hrs,11/10 2027 hrs,11/10,2223 hrs,Warrant Arrest,Baseline/I-10,Cleared By Arrest
10-18103T,11/10,2005 hrs,11/10 2032 hrs,11/10,2210 hrs,In Possession of Marijuana/Paraphernalia,Wells Fargo Arena,Cleared By Arrest
10-18107T,11/10,2104 hrs,11/10 1930 hrs,11/10,2100 hrs,Vehicle Burglary/Theft of Property,Parking Structure 4,Pending
10-18109T,11/10,2139 hrs,11/10 2139 hrs,11/10,2157 hrs,Under 21 with Alcohol in the Body,Apache/College,Cleared By Arrest
10-18114T,11/10,2212 hrs,11/10 2239 hrs,11/10,2258 hrs,Under 21 with Alcohol in the Body,Hassayampa Phase 2,Cleared By Arrest
10-18121P,11/10,2302 hrs,11/10 2205 hrs,11/10,2300 hrs,Threatening and Intimating,7000 blk Trent Ave,Pending
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-18131T,11/11,0159 hrs,11/11 0227 hrs,11/11,0301 hrs,Tampering with Traffic Control Device,College of Design North Cleared by Arrest
10-18140T,11/11,0420 hrs,11/11 0433 hrs,11/11,0444 hrs,Under 21 with Alcohol in the Body,Bio Design A Building Cleared by Arrest
10-18155T,11/11,1252 hrs,11/11 1259 hrs,11/11,1544 hrs,Warrant Arrest,8th St/Price Cleared by Arrest
10-18177T,11/11,2245 hrs,11/11 1945 hrs,11/11,2245 hrs,Vehicle Burglary,Parking Structure 4 Pending
10-18184T,11/11,2325 hrs,11/11 2325 hrs,11/12,0013 hrs,Possession of Marijuana / Possession of Drug,Vista Del Sol Cleared by Arrest
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-18193T,11/12,0201 hrs,11/12 0201 hrs,11/12,0218 hrs,Under 21 with Alcohol in the Body,Sonora Center Cleared by Arrest
10-18194T,11/12,0208 hrs,11/12 0208 hrs,11/12,0302 hrs,Under 21 with Alcohol in the Body,Palo Verde Main Cleared by Arrest
10-18200T,11/12,0718 hrs,11/10 1100 hrs,11/12,0600 hrs,Theft of ASU Property,Computing Commons Pending
10-18207T,11/12,0922 hrs,11/10 1730 hrs,11/12,0922 hrs,Criminal Damage to Private Property,Parking Structure 4 Pending
10-18213T,11/12,1114 hrs,11/5 1900 hrs,11/7,1230 hrs,Bicycle Theft,Business Administration Pending
10-18219T,11/12,1443 hrs,11/12 1300 hrs,11/12,1443 hrs,Theft,CPh-Wysiicnagl Sciences H- Pending
10-18222T,11/12,1513 hrs,11/12 1510 hrs,11/12,1554 hrs,"Accident, Non- Injuries",AWrimngstrong Hall Pending
10-18226T,11/12,1600 hrs,11/12 1600 hrs,11/12,1600 hrs,"Accident, Non- Injuries",Hassayampa II Pending
10-18227T,11/12,1548 hrs,11/10 2200 hrs,11/12,1030 hrs,Bicycle Theft,Parking Lot 40 Pending
10-18234T,11/12,1748 hrs,11/12 1748 hrs,11/12,1748 hrs,Impound,Palo Verde East Pending
10-18247T,11/12,2354 hrs,11/12 2354 hrs,11/12,0006 hrs,Under 21 with Alcohol in the Body,Vista del Sol Cleared by Arrest
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
"",,,,,,,Arrest with Charges
