"",,,,,Police Log,,
"",,,,,,,"Trespassing, Minor with Alcohol in Body, Minor in",,
13-62661T,9/4,0011 hrs,9/4,0011 hrs,9/4,0028 hrs,"Possession of Alcohol, Possession of Marijuana,",1500 Block S Rural Rd,Cleared by Arrest
"",,,,,,,Possession of Drug Paraphernalia,,
"",,,,,,,,Sun Devil Fitness,
13-62765W,9/4,0921 hrs,9/4,0800 hrs,9/4,0850 hrs,Theft,,Pending
"",,,,,,,,Center West,
13-62787T,9/4,1032 hrs,8/29,1800 hrs,9/4,1000 hrs,Bike Theft,Towers,Pending
"",,,,,,,,Physical Science F,
13-62900T,9/4,1819 hrs,9/3,1600 hrs,9/3,1800 hrs,Bike Theft,,Pending
"",,,,,,,,Wing,
13-62906T,9/4,1848 hrs,9/4,1730 hrs,9/4,1830 hrs,Theft,Manzanita,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
13-62959T,9/4,2130 hrs,9/4,2130 hrs,9/4,2155 hrs,,Palo Verde Main,Cleared by Arrest
"",,,,,,,Paraphernalia,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",S McAllister Ave / E,
13-62968T,9/4,2205 hrs,9/4,2205 hrs,9/4,2356 hrs,,,Cleared by Arrest
"",,,,,,,"Paraphernalia, Minor with Alcohol in Body",15th St,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Drug Paraphernalia, Possession of",,
13-63026T,9/5,0026 hrs,9/5,0026 hrs,9/5,0030 hrs,,Secret Garden,Cleared by Arrest
"",,,,,,,Marijuana,,
13-63044T,9/5,0106 hrs,9/5,0106 hrs,9/5,0130 hrs,"Criminal Trespassing, Minor with Alcohol in Body",Mona Plummer,Cleared by Arrest
13-63117T,9/5,0856 hrs,8/21,1700 hrs,8/21,1700 hrs,Bike Theft,Wilson Hall,Pending
13-63223T,9/5,1422 hrs,9/5,1900 hrs,9/5,1915 hrs,Theft,Manzanita Café,Pending
13-63345T,9/5,2212 hrs,9/5,2212 hrs,9/5,2315 hrs,Aggravated Robbery,Parking Structure 5,Unfounded
13-63374T,9/5,2318 hrs,9/5,2318 hrs,9/5,2341 hrs,Minor with Alcohol in Body,Manzanita,Cleared by Arrest
13-63394P,9/5,2359 hrs,9/5,2359 hrs,9/5,2359 hrs,Possession of Narcotics,6500 Block S Raven,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-63412T,9/6,0045 hrs,8/30,2000 hrs,9/3,0500 hrs,Bike Theft,Cottonwood Hall,Pending
13-63413T,9/6,0120 hrs,9/6,0120 hrs,9/6,0810 hrs,Minor with Alcohol in Body,Vista del Sol,Cleared by Arrest
"",,,,,,,,S Rural Rd / E Apache,
13-63416T,9/6,0120 hrs,9/6,0120 hrs,9/6,0146 hrs,Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,,,Blvd,
"",,,,,,,"Assault, Domestic Violence, Minor with Alcohol in",,
13-63471T,9/6,0828 hrs,9/6,0828 hrs,9/6,0916 hrs,,Palo Verde East,Cleared by Arrest
"",,,,,,,Body,,
13-63482T,9/6,0921 hrs,9/6,0620 hrs,9/6,0700 hrs,Theft,Sun Angel Stadium,Pending
13-63496W,9/6,1032 hrs,9/4,0800 hrs,9/4,1515 hrs,Bike Theft,Herberger Academy,Pending
"",,,,,,,,University Center,
13-63502D,9/6,1133 hrs,9/6,0850 hrs,9/6,1120 hrs,Bike Theft,,Pending
"",,,,,,,,Garage,
13-63535T,9/6,1459 hrs,9/6,1130 hrs,9/6,1330 hrs,Bike Theft,Hassayampa Phase 1,Pending
"",,,,,,,,Physical Science H,
13-63546T,9/6,1525 hrs,9/6,1150 hrs,9/6,1250 hrs,Bike Theft,,Pending
"",,,,,,,,Wing,
13-63567T,9/6,1810 hrs,9/6,1755 hrs,9/6,1800 hrs,Theft,Physical Education East,Pending
13-63570T,9/6,1808 hrs,8/30,1700 hrs,9/6,1800 hrs,Bike Theft,Cottonwood Hall,Pending
13-63623T,9/6,2123 hrs,9/6,2118 hrs,9/6,2118 hrs,Criminal Damage,Palo Verde West,Pending
"",,,,,,,"Possession of Drug Paraphernalia, Open Container of",E Lemon St / S Stanley,
13-63660T,9/6,2342 hrs,9/6,2342 hrs,9/6,2350 hrs,,,Cleared by Arrest
"",,,,,,,Alcohol in Public,Pl,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-63681T,9/7,0140 hrs,9/7,0140 hrs,9/7,0146 hrs,Minor with Alcohol in Body,Hassayampa Phase 1,Cleared by Arrest
13-63700T,9/7,0317 hrs,9/7,0317 hrs,9/7,0435 hrs,Minor with Alcohol in Body,Hassayampa Phase 2,Cleared by Arrest
"",,,,,,,,S Rural Rd / E Spence,
13-63708T,9/7,0418 hrs,9/7,0418 hrs,9/7,0526 hrs,Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,,,Ave,
13-63781T,9/7,1428 hrs,9/5,2200 hrs,9/5,2200 hrs,Assault,Hayden East,Pending
13-63783T,9/7,1438 hrs,9/7,1000 hrs,9/7,1300 hrs,Theft,Noble Library,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-63914T,9/8,0100 hrs,9/8,0100 hrs,9/8,0109 hrs,Minor with Alcohol in Body,Hassayampa Phase 2,Cleared by Arrest
13-63975T,9/8,1104 hrs,9/3,1700 hrs,9/8,1104 hrs,Burglary,Adelphi,Pending
13-64019T,9/8,1409 hrs,9/8,1300 hrs,9/8,1400 hrs,Theft,Manzanita,Pending
13-64024T,9/8,1417 hrs,9/6,1500 hrs,9/8,1300 hrs,Bike Theft,Manzanita,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",E Broadway Rd / S,
13-64147T,9/9,0016 hrs,9/9,0016 hrs,9/9,0108 hrs,,,Cleared by Arrest
"",,,,,,,Paraphernalia,Jentilly Ln,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
13-64157T,9/9,0131 hrs,9/9,0131 hrs,9/9,0214 hrs,,Palo Verde Main,Cleared by Arrest
"",,,,,,,Paraphernalia,,
13-64295T,9/9,1302 hrs,9/4,0900 hrs,9/4,1015 hrs,Theft,Language & Literature,Pending
13-64307T,9/9,1422 hrs,8/30,1200 hrs,9/9,1200 hrs,Threatening or Intimidating,Sonora Annex,Pending
13-64323T,9/9,1545 hrs,9/9,1545 hrs,9/9,1545 hrs,Theft,Computing Commons,Pending
13-64330P,9/9,1645 hrs,9/1,1500 hrs,9/4,1800 hrs,Theft,Century Hall,Pending
13-64335T,9/9,1712 hrs,9/6,0800 hrs,9/6,1700 hrs,Fail To Notify Upon Striking Vehicle,Parking Structure 4,Pending
13-64354T,9/9,1940 hrs,9/9,1940 hrs,9/9,1951 hrs,Exhibition of Speed,E 10th St / S Mill Ave,Cleared by Arrest
"",,,,,,,"Narcotic Drugs - Possession for Sale, Narcotic Drugs -",,
"",,,,,,,"Transport for Sale, Narcotic Drugs - Possession,",,
"",,,,,,,"Marijuana - Transport for Sale, Misconduct Involving",,
"",,,,,,,,1100 Block E,
13-64425T,9/9,2335 hrs,9/9,2335 hrs,9/10,0521 hrs,"Weapons-Prohibited Possession,  Misconduct Involving",,Cleared by Arrest
"",,,,,,,,Broadway Rd,
"",,,,,,,"Weapons-Using or Possessing a Deadly Weapon,",,
"",,,,,,,"Marijuana - Possession for Sale, Possession of Drug",,
"",,,,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-64538T,9/10,1007 hrs,9/10,1007 hrs,9/10,1010 hrs,Warrant Arrest,Mona Plummer Pool,Cleared by Arrest
13-64555T,9/10,1059 hrs,9/8,1500 hrs,9/10,0900 hrs,Bike Theft,Palo Verde West,Pending
13-64569T,9/10,1134 hrs,9/10,1134 hrs,9/10,1134 hrs,Theft,Hayden Library,Pending
13-64577T,9/10,1021 hrs,9/5,1630 hrs,9/5,1730 hrs,Fail to Stop on Striking Unattended Vehicle,Lot 46,Pending
13-64615T,9/10,1350 hrs,9/9,1945 hrs,9/10,1015 hrs,Bike Theft,Hassayampa Phase 2,Pending
13-64651P,9/10,1557 hrs,9/10,1300 hrs,9/10,1330 hrs,Theft,Century Hall,Pending
13-64672T,9/10,1639 hrs,9/9,1900 hrs,9/10,0800 hrs,Bike Theft,Cereus Hall,Pending
13-64677T,9/10,1706 hrs,9/9,1830 hrs,9/10,1200 hrs,Bike Theft,Hassayampa Phase 2,Pending
"",,,,,,,,Physical Science A,
13-64678T,9/10,1730 hrs,9/10,1445 hrs,9/10,1515 hrs,Bike Theft,,Pending
"",,,,,,,,Wing,
13-64743T,9/10,2303 hrs,9/10,2303 hrs,9/10,2323 hrs,Possession of Drug Paraphernalia,Parking Structure 5,Cleared by Arrest
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
13-64753T,9/10,2332 hrs,9/10,2332 hrs,9/10,0030 hrs,,Lot 72,Cleared by Arrest
"",,,,,,,Paraphernalia,,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
13-54907T,9/11,1150 hrs,9/9,1900 hrs,9/10,0900 hrs,Theft,Barrett Pending
13-64913T,9/11,1215 hrs,9/11,0100 hrs,9/11,1100 hrs,Theft,Hassayampa Phase 2 Pending
13-64945T,9/11,1347 hrs,9/11,0830 hrs,9/11,1000 hrs,Bike Theft,College of Design South Pending
13-64976T,9/11,1542 hrs,9/6,1600 hrs,9/7,1100 hrs,Theft,Schwada Pending
13-65059W,9/11,2220 hrs,9/7,0100 hrs,9/7,0100 hrs,Sexual Assault,Casa de Oro Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Newberry Rd / E,
13-65101T,9/12,0019 hrs,9/12,0019 hrs,9/12,0026 hrs,Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,,,Spence Ave,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
