"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Monday, September 01, 2014",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
14-63648T,9/1,0708 hrs,9/1,0630 hrs,9/1 0700 hrs Theft,Barrett Honors College,Pending
14-63782D,9/1,1604 hrs,8/28,0000 hrs,8/28 1400 hrs Theft,Univeristy Center,Pending
14-63842T,9/1,2120 hrs,9/1,2120 hrs,9/1 0513 hrs Possession of Marijuana & Drug Paraphernalia,Manzanita,Cleared By Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
14-63918T,9/2,0539 hrs,9/2,0539 hrs,9/2,0539 hrs,Trespass and Loitering,Sonora,Cleared By Arrest
"",,,,,,,"Under 21 with Alcohol in Body, Furnishing Alcohol to",College Avenue,
14-64006T,9/2,1041 hrs,9/2,1041 hrs,9/2,1041 hrs,,,Cleared By Arrest
"",,,,,,,Underage Person,Commons,
14-64013T,9/2,1035 hrs,8/29,1700 hrs,8/29,1700 hrs,Bike Theft,Best B,Pending
14-64025T,9/2,1205 hrs,9/2,1155 hrs,9/2,1200 hrs,Theft,Hayden Library,Pending
14-64032T,9/2,1247 hrs,9/1,2030 hrs,9/1,2045 hrs,Theft,Memorial Union,Pending
14-64065T,9/2,1403 hrs,9/2,0730 hrs,9/2,1330 hrs,Bike Theft,Schwada,Pending
14-64100T,9/2,1526 hrs,9/1,1700 hrs,9/2,0900 hrs,Bike Theft,Villas at Vista,Pending
14-64111P,9/2,1617 hrs,9/2,1500 hrs,9/2,1550 hrs,Bike Theft,Agribusiness,Pending
"",,,,,,,,Sun Devil Fitness,
14-64156P,9/2,2027 hrs,9/2,2010 hrs,9/2,2025 hrs,Theft,,Pending
"",,,,,,,,Center,
14-64169T,9/2,2118 hrs,8/29,1800 hrs,9/2,1415 hrs,Criminal Damage,Parking Area 16,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
