10-13401T,9/3,1014 hrs,9/3 0000 hrs,9/3,1014 hrs,Burglary,Manzanita Hall,Pending
10-13412T,9/3,1201 hrs,9/2 2100 hrs,9/3,1030 hrs,Bicycle Theft,University Towers,Pending
10-13413W,9/3,1213 hrs,9/3 1213 hrs,9/3,1213 hrs,Harassment,Las Casas,Pending
10-13418T,9/3,1251 hrs,9/3 0900 hrs,9/3,1251 hrs,Bicycle Theft,Physical Education East,Pending
"",,,,,,,Vista Del Sol Parking,
10-13422T,9/3,1347 hrs,9/3 1330 hrs,9/3,1345 hrs,Recovered Stolen Vehicle,,Closed
"",,,,,,,Structure,
10-13423T,9/3,1411 hrs,9/3 0700 hrs,9/3,1400 hrs,Bicycle Theft,Noble Library,Pending
10-13431T,9/3,1516 hrs,9/3 0730 hrs,9/3,1516 hrs,Theft,Lot 40,Pending
10-13434T,9/3,1611 hrs,9/3 1400 hrs,9/3,1600 hrs,Bicycle Theft,Physical Sciences H,Pending
10-13435T,9/3,1635 hrs,9/3 1300 hrs,9/3,1540 hrs,Bicycle Theft,Lattie Coor Hall,Pending
10-13448T,9/3,2042 hrs,9/3 1842 hrs,9/3,2042 hrs,Theft,Student Recreation Center,Pending
"",,,,,,,University Services,
10-13450T,9/3,2126 hrs,9/3 2126 hrs,9/3,2126 hrs,Loitering,,Cleared By Arrest
"",,,,,,,Building,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13468T,9/4,0036 hrs,9/4 0030 hrs,9/4,0035 hrs,Disorderly Conduct,Cholla Apartments,Pending
10-13476T,9/4,0216 hrs,9/4 0216 hrs,9/4,0411 hrs,Under 21 with Alcohol in the Body,Manzanita,Cleared by Arrest
10-13477T,9/4,0308 hrs,9/4 0308 hrs,9/4,0617 hrs,Under 21 with Alcohol in the Body,Palo Verde West,Cleared by Arrest
10-13478T,9/4,0401 hrs,9/4 0401 hrs,9/4,0704 hrs,Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-13479T,9/4,0416 hrs,9/4 0416 hrs,9/4,0716 hrs,Warrant Arrest,Vista del Sol,Cleared by Arrest
10-13480T,9/4,0411 hrs,9/4 0230 hrs,9/4,0230 hrs,Theft,Barrett Honors College,Pending
10-13481T,9/4,0411 hrs,9/4 0230 hrs,9/4,0230 hrs,Theft,Barrett Honors College,Pending
10-13500T,9/4,1522 hrs,9/3 1600 hrs,9/4,1522 hrs,Bicycle Theft,Cholla Hall,Pending
10-13509T,9/4,1803 hrs,9/4 1750 hrs,9/4,1803 hrs,Bicycle Theft,Memorial Union,Pending
10-13510T,9/4,1815 hrs,9/4 1815 hrs,9/4,1815 hrs,Under 21 Possession of Alcohol,Vista del Sol,Cleared by Arrest
10-13511T,9/4,1816 hrs,9/3 0100 hrs,9/4,0740 hrs,Bicycle Theft,Vista del Sol,Pending
10-13513T,9/4,1835 hrs,9/4 1835 hrs,9/4,1835 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-13517T,9/4,1853 hrs,9/4 1853 hrs,9/4,1915 hrs,Under 21 with Alcohol in the Body,Manzanita,Cleared by Arrest
10-13518T,9/4,1900 hrs,9/4 1900 hrs,9/4,1900 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-13519T,9/4,1909 hrs,9/4 1909 hrs,9/4,2123 hrs,Information only,Memorial Union,Pending
10-13520T,9/4,1913 hrs,9/4 1913 hrs,9/4,1913 hrs,Under 21 Possession of Alcohol,Manzanita,Cleared by Arrest
10-13521T,9/4,1917 hrs,9/4 1917 hrs,9/4,1927 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-13522T,9/4,1926 hrs,9/4 1926 hrs,9/4,1926 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-13523T,9/4,1940 hrs,9/4 1940 hrs,9/4,1940 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-13524T,9/4,1959 hrs,9/4 1959 hrs,9/4,1959 hrs,Under 21 with Alcohol in the Body,Sun Devil Stadium,Cleared by Arrest
10-13530T,9/4,2124 hrs,9/4 2124 hrs,9/4,2155 hrs,Assault,Hassayampa Phase 1,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13543T,9/4,2336 hrs,9/4 2336 hrs,9/5,0500 hrs,Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
"",,,,,,Criminal Damage / Under 21 with Alcohol in the,,
10-13549T,9/5,0037 hrs,9/5 0037 hrs,9/5,0037 hrs,,Law Library,Cleared by Arrest
"",,,,,,Body,,
10-13559T,9/5,0404 hrs,9/5 0404 hrs,9/5,0420 hrs,Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-13570T,9/5,1316 hrs,9/5 1316 hrs,9/5,1435 hrs,Theft,Memorial Union,Pending
10-13577T,9/5,1719 hrs,9/5 1719 hrs,9/5,1822 hrs,Fire,Parking Structure 3,Closed
10-13579T,9/5,2110 hrs,9/5 2110 hrs,9/5,2327 hrs,Information Only,Manzanita,Closed
10-13580T,9/5,2114 hrs,9/5 2114 hrs,9/5,2129 hrs,Theft,Willow,Pending
10-13583T,9/5,2250 hrs,9/5 2250 hrs,9/5,2256 hrs,Traffic Accident,Parking Structure 1,Closed
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13588T,9/6,0053 hrs,9/6 0053 hrs,9/6,0121 hrs,Under 21 with Alcohol in the Body,Agave Hall,Cleared By Arrest
10-13591T,9/6,0159 hrs,9/6 0159 hrs,9/6,0248 hrs,Under 21 in Possession of Alcohol,Hassayampa Phase 2,Cleared By Arrest
10-13594T,9/6,0232 hrs,9/6 0232 hrs,9/6,0246 hrs,Under 21 with Alcohol in the Body,Vista Del Sol,Cleared By Arrest
"",,,,,,Under 21 with Alcohol in the Body / Possession of,,
10-13595T,9/6,0244 hrs,9/6 0244 hrs,9/6,0330 hrs,,Hassayampa Phase 2,Cleared By Arrest
"",,,,,,Marijuana,,
"",,,,,,Criminal Damage / Under 21 with Alcohol in the,,
10-13600W,9/6,0335 hrs,9/6 0330 hrs,9/6,0505 hrs,,Las Casas,Cleared By Arrest
"",,,,,,Body,,
10-13603T,9/6,0441 hrs,9/6 0441 hrs,9/6,0458 hrs,Under 21 with Alcohol in the Body,Manzanita,Cleared By Arrest
10-13604T,9/6,0641 hrs,9/6 0641 hrs,9/6,0706 hrs,Under 21 with Alcohol in the Body,San Pablo,Cleared By Arrest
10-13618T,9/6,1524 hrs,9/6 1524 hrs,9/6,1524 hrs,Trespassing,Noble Library,Cleared By Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13644T,9/7,0703 hrs,7/1 0800 hrs,9/7,0630 hrs,Criminal Damage,6000 Blk Vosler Cir,Pending
10-13653T,9/7,1144 hrs,9/7 1144 hrs,9/7,1232 hrs,Theft,Salvage,Pending
10-13657D,9/7,1401 hrs,9/7 1401 hrs,9/7,1415 hrs,Bicycle Theft,Taylor Place Mall,Pending
10-13658T,9/7,1427 hrs,9/6 1700 hrs,9/7,1400 hrs,Criminal Damage,Memorial Union,Pending
10-13659T,9/7,1430 hrs,9/3 1800 hrs,9/7,1430 hrs,Bicycle Theft,Hassayampa Phase 2,Pending
10-13662E,9/7,1629 hrs,9/4 1200 hrs,9/7,0800 hrs,Bicycle Theft,5000 Blk S Terripin,Pending
10-13674E,9/7,1818 hrs,9/5 2400 hrs,9/7,1818 hrs,Criminal Damage,Palo Blanco,Pending
10-13677T,9/7,1954 hrs,9/2 1530 hrs,9/2,1730 hrs,Stolen Laptop,Vista Del Sol,Pending
10-13692T,9/7,2320 hrs,9/7 2320 hrs,9/8,0232 hrs,Possession of Marijuana,Fulton Parking Structure,Cleared By Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,Under 21 with Alcohol in the Body / Minor in,,
10-13698T,9/8,0225 hrs,9/8 0225 hrs,9/8,0253 hrs,,Vista Del Sol,Cleared By Arrest
"",,,,,,Possession of Alcohol,,
10-13713T,9/8,1007 hrs,9/8 0835 hrs,9/8,0925 hrs,Stolen Bicycle,College of Design North,Pending
10-13721T,9/8,1331 hrs,9/7 1700 hrs,9/8,0930 hrs,Burglary from Vehicle,Parking Structure 7,Pending
10-13728T,9/8,1551 hrs,9/8 1500 hrs,9/8,1551 hrs,Theft,Vista Del Sol,Pending
10-13729T,9/8,1610 hrs,9/8 1610 hrs,9/8,2027 hrs,Suspicious Device,BAC,Closed
10-13737T,9/8,1910 hrs,9/7 1600 hrs,9/8,2040 hrs,Theft,Old Main,Pending
