10-7432T,5/4,2146 hrs,5/4 2146 hrs,5/4,2208 hrs,Under 21 with Alcohol in Body,,Cleared by Arrest
"",,,,,,,Lemon St,
"",,,,,,Aggravated Assault/Resisting Arrest/Disorderly,Student Recreation,
10-7436T,5/4,2219 hrs,5/4 2219 hrs,5/5,0149 hrs,,,Cleared by Arrest
"",,,,,,Conduct/Under 21 with Alcohol in Body,Center,
10-7449T,5/4,2312 hrs,5/4 2312 hrs,5/5,0040 hrs,Under 21 with Alcohol in Body / False Information,Palo Verde West,Cleared by Arrest
10-7453T,5/4,2324 hrs,5/4 2324 hrs,5/5,0137 hrs,Under 21 with Alcohol in Body,Parking Structure 3,Cleared by Arrest
"",,,,,,Possession of Marijuana/Possession of Drug,,
10-7454T,5/4,2330 hrs,5/4 2330 hrs,5/5,0053 hrs,,Hassayampa Phase 2,Cleared by Arrest
"",,,,,,Paraphernalia,,
10-7457T,5/4,2244 hrs,5/4 2020 hrs,5/4,2244 hrs,Theft,Cereus Hall,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7473T,5/5,0316 hrs,5/5 0316 hrs,5/5,0332 hrs,Assault / Under 21 with Alcohol in Body,Computing Commons,Cleared By Arrest
10-7475T,5/5,0436 hrs,5/5 0436 hrs,5/5,0445 hrs,Minor in Consumption,Parking Structure 5,Cleared By Arrest
10-7476T,5/5,0531 hrs,5/5 0531 hrs,5/5,0531 hrs,Found Property,SRC Field,Pending
10-7484T,5/5,0839 hrs,5/4 1700 hrs,5/5,0800 hrs,Criminal Damage,LL,Pending
10-7486T,5/5,0911 hrs,5/5 0700 hrs,5/5,0900 hrs,Stolen Vehicle,Lot 59,Pending
10-7489T,5/5,1003 hrs,5/4 2100 hrs,5/5,1000 hrs,Criminal Damage,600blk S Alpha Drive,Pending
